"Name","Source","Size","Type","Alignment","AC","HP","Speed","Strength","Dexterity","Constitution","Intelligence","Wisdom","Charisma","Saving Throws","Skills","Damage Vulnerabilities","Damage Resistances","Damage Immunities","Condition Immunities","Senses","Languages","CR","Traits","Actions","Bonus Actions","Reactions","Legendary Actions","Mythic Actions","Lair Actions","Regional Effects","Environment"
"Blagothkus","HotDQ","Huge","giant (cloud giant)","neutral evil","17 (splint armor)","138 (12d12 + 60)","40 ft.","26","13","20","16","15","15","Con +9, Wis +6, Cha +6","Arcana +7, Insight +6, Intimidation +6, Perception +6","","","","","passive Perception 16","Common, Draconic, Giant","9 (5,000 XP)"," Innate Spellcasting. Blagothkus can innately cast the following spells (spell save DC 15), requiring no material components:3/day each: fog cloud, levitate Keen Smell. Blagothkus has advantage on Wisdom (Perception) checks that rely on smell. Spellcasting. Blagothkus is a 5th-level spellcaster that uses Intelligence as his spellcasting ability (spell save DC 15, +7 to hit with spell attacks). Blagothkus has the following spells prepared from the wizard spell list:Cantrips (at will): light, mage hand, prestidigitation1st level (4 slots): detect magic, identify, magic missile, shield2nd level (3 slots): gust of wind, misty step, shatter3rd level (2 slots): fly, lightning bolt"," Multiattack. Blagothkus attacks twice with his morningstar. Morningstar. Melee Weapon Attack: +10 to hit, reach 10 ft., one target. Hit: 21 (3d8 + 8) piercing damage.","","","","","","",""
"Blind Artist","ToA","Medium","undead","neutral evil","8","22 (3d8 + 9)","20 ft.","13","6","16","3","6","5","Wis +0","","","","poison","blinded, poisoned","blindsight 30 ft. (blind beyond this radius), passive Perception 8","understands all languages it spoke in life but can't speak","0 (0 or 10 XP)"," Undead Fortitude. If damage reduces the artist to 0 hit points, it must make a Constitution saving throw with a DC of 5 + the damage taken, unless the damage is radiant or from a critical hit. On a success, the artist drops to 1 hit point instead.","","","","","","","",""
"Blinded Troll","WDH","Large","giant","chaotic evil","15 (natural armor)","84 (8d10 + 40)","20 ft.","18","13","20","7","9","7","","Perception +2","","","","","darkvision 60 ft., passive Perception 12","Giant","4 (1,100 XP)"," Blinded. The troll is wearing an eyeless helm, and is blinded. Keen Smell. The troll has advantage on Wisdom (Perception) checks that rely on smell. Regeneration. The troll regains 10 hit points at the start of its turn. If the troll takes acid or fire damage, this trait doesn't function at the start of the troll's next turn. The troll dies only if it starts its turn with 0 hit points and doesn't regenerate."," Multiattack. The troll makes three attacks: one with its bite and two with its claws. Bite. Melee Weapon Attack: +7 to hit, reach 5 ft., one target. Hit: 7 (1d6 + 4) piercing damage. Claw. Melee Weapon Attack: +7 to hit, reach 5 ft., one target. Hit: 11 (2d6 + 4) slashing damage.","","","","","","",""
"Blink Dog","MM","Medium","fey","lawful good","13","22 (4d8 + 4)","40 ft.","12","17","12","10","13","11","","Perception +3, Stealth +5","","","","","passive Perception 10","Blink Dog, understands Sylvan but can't speak it","1/4 (50 XP)"," Keen Hearing and Smell. The dog has advantage on Wisdom (Perception) checks that rely on hearing or smell."," Bite. Melee Weapon Attack: +3 to hit, reach 5 ft., one target. Hit: 4 (1d6 + 1) piercing damage. Teleport (Recharge 4–6). The dog magically teleports, along with any equipment it is wearing or carrying, up to 40 feet to an unoccupied space it can see. Before or after teleporting, the dog can make one bite attack.","","","","","","","Forest"
"Blistercoil Weird","GGR","Medium","elemental","chaotic neutral","13","45 (7d8 + 14)","40 ft., swim 60 ft.","16","16","15","5","10","7","","","","cold, fire; bludgeoning, piercing, and slashing from nonmagical attacks","poison","exhaustion, grappled, paralyzed, petrified, poisoned, prone, restrained, unconscious","darkvision 60 ft., passive Perception 10","Draconic","4 (1,100 XP)"," Feed on Fire. If the weird takes fire damage from a spell or other magical effect, its size increases by one category. If there isn't enough room for the weird to increase in size, it attains the maximum size possible in the space available. While the weird is Large or bigger, it makes Strength checks and saving throws with advantage. If the weird starts its turn at Gargantuan size, the weird releases energy in an explosion. Each creature within 30 feet of the weird must make a DC 12 Dexterity saving throw, taking 28 (8d6) fire damage on a failed save, or half as much damage on a successful one. The explosion ignites flammable objects in the area that aren't being worn or carried. The weird's size then becomes Medium. Form of Fire and Water. The weird can move through a space as narrow as 1 inch wide without squeezing. In addition, the weird can enter a hostile creature's space and stop there. The first time the weird enters another creature's space on a turn, that creature takes 5 (1d10) fire damage and catches fire; until someone takes an action to douse the fire, the burning creature takes 5 (1d10) fire damage at the start of each of its turns. Heated Body. A creature that touches the weird or hits it with a melee attack while within 5 feet of it takes 5 (1d10) fire damage. Illumination. The weird sheds bright light in a 30-foot radius and dim light for an additional 30 feet."," Slam. Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: 7 (1d8 + 3) bludgeoning damage plus 7 (2d6) fire damage, or 11 (2d8 + 3) bludgeoning damage plus 14 (4d6) fire damage if the weird is Large or bigger.","","","","","","",""
"Blood Drinker Vampire","GGR","Medium","undead","lawful evil","16 (natural armor)","90 (12d8 + 36)","40 ft., fly 40 ft. (hover)","16","18","17","16","13","19","Dex +7, Con +6, Wis +4","Intimidation +7, Perception +4, Stealth +7","","necrotic; bludgeoning, piercing, and slashing from nonmagical attacks","","","darkvision 60 ft., passive Perception 14","the languages it knew in life","8 (3,900 XP)",""," Multiattack. The vampire makes three melee attacks, only one of which can be a bite attack. Bite. Melee Weapon Attack: +7 to hit, reach 5 ft., one willing creature, or a creature that is grappled by the vampire, incapacitated, or restrained. Hit: 7 (1d6 + 4) piercing damage plus 7 (2d6) necrotic damage. If the target is humanoid, it must succeed on a DC 15 Charisma saving throw or be charmed by the vampire for 1 minute. While charmed in this way, the target is infatuated with the vampire. The target's hit point maximum is reduced by an amount equal to the necrotic damage taken, and the vampire regains hit points equal to that amount. The reduction lasts until the target finishes a long rest. The target dies if its hit point maximum is reduced to 0. Rapier. Melee Weapon Attack: +7 to hit, reach 5 ft., one target. Hit: 8 (1d8 + 4) piercing damage. Unarmed Strike. Melee Weapon Attack: +6 to hit, reach 5 ft., one target. Hit: 7 (1d8 + 3) bludgeoning damage. The vampire can also grapple the target (escape DC 14) if it is a creature and the vampire has a hand free.",""," Parry. The vampire adds 3 to its AC against one melee attack that would hit it. To do so, the vampire must see the attacker and be wielding a melee weapon.","","","","",""
"Blood Hawk","MM","Small","beast","unaligned","12","7 (2d6)","10 ft., fly 60 ft.","6","14","10","3","14","5","","Perception +4","","","","","passive Perception 14","—","1/8 (25 XP)"," Keen Sight. The hawk has advantage on Wisdom (Perception) checks that rely on sight. Pack Tactics. The hawk has advantage on an attack roll against a creature if at least one of the hawk's allies is within 5 feet of the creature and the ally isn't incapacitated."," Beak. Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 4 (1d4 + 2) piercing damage.","","","","","","","Arctic, Coastal, Forest, Grassland, Hill, Mountain"
"Blood Hunter","EGW","Medium","humanoid (any race)","any alignment","16 (half plate)","65 (10d8 + 20)","30 ft.","18","12","15","9","16","11","Str +7, Wis +6","Acrobatics +4, Insight +6, Perception +6","","","","","darkvision 60 ft., passive Perception 16","any one language (usually Common)","5 (1,800 XP)"," Blood Curse of Binding (1/Day). As a bonus action, the blood hunter targets one creature it can see within 30 feet of it. The target must succeed on a DC 14 Strength saving throw or have its speed reduced to 0 and be unable to take reactions. The target can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success. Blood Frenzy. The blood hunter has advantage on melee attack rolls against any creature that doesn't have all its hit points. Innate Spellcasting (1/Day). The blood hunter can innately cast hex. Its innate spellcasting ability is Intelligence. Magic Resistance. The blood hunter has advantage on saving throws against spells and other magical effects."," Multiattack. The blood hunter attacks twice with a weapon. Greatsword. Melee Weapon Attack: +7 to hit, reach 5 ft., one target. Hit: 11 (2d6 + 4) slashing damage plus 3 (1d6) fire damage. Heavy Crossbow. Ranged Weapon Attack: +4 to hit, range 100/400 ft., one target. Hit: 6 (1d10 + 1) piercing damage.","","","","","","",""
"Blood Witch","GGR","Medium","humanoid (any race)","chaotic evil","12 (15 with mage armor)","78 (12d8 + 24)","30 ft.","16","14","15","13","9","19","Wis +2, Cha +7","Arcana +4, Intimidation +7, Perception +2, Stealth +5","","psychic","","","darkvision 120 ft., passive Perception 12","Abyssal plus any one language (usually Common)","7 (2,900 XP)"," Blood Witch Dance. The witch can use a bonus action to control the movement of one creature cursed by its hex spell that it can see within 30 feet of it. The creature must succeed on a DC 15 Charisma saving throw or use its reaction to move up to 30 feet in a direction of the witch's choice. Devil's Sight. Magical darkness doesn't impede the witch's darkvision. Innate Spellcasting. The witch's innate spellcasting ability is Charisma (spell save DC 15, +7 to hit with spell attacks). The witch can innately cast the following spells, requiring no material components:At will: alter self, detect magic, eldritch blast (at 11th level), false life, levitate (self only), mage armor (self only)3/day each: hellish rebuke, hex, scorching ray (at 3rd level)1/day each: circle of death, enthrall, suggestion"," Multiattack. The witch makes two attacks: one with its longsword and one with its shortsword. Longsword. Melee Weapon Attack: +6 to hit, reach 5 ft., one target. Hit: 7 (1d8 + 3) slashing damage. Shortsword. Melee Weapon Attack: +6 to hit, reach 5 ft., one target. Hit: 6 (1d6 + 3) piercing damage.","","","","","","",""
"Blood-Toll Harpy","MOT","Medium","monstrosity","chaotic evil","11","9 (2d8)","20 ft., fly 40 ft.","12","13","10","6","11","13","","Intimidation +3","","","","","passive Perception 10","Common","1/8 (25 XP)"," Blood Frenzy. The harpy has advantage on melee attack rolls against any creature that doesn't have all its hit points. Dark Devotion. The harpy has advantage on saving throws against being charmed or frightened."," Multiattack. The harpy makes two melee attacks: one with its bite and one with its claws. Bite. Melee Weapon Attack: +3 to hit, reach 5 ft., one target. Hit: 3 (1d4 + 1) piercing damage. Claws. Melee Weapon Attack: +3 to hit, reach 5 ft., one target. Hit: 3 (1d4 + 1) slashing damage.","","","","","","",""
"Bloodfray Giant","GGR","Huge","giant","chaotic evil","14 (natural armor)","103 (9d12 + 45)","40 ft.","23","9","20","7","8","9","Str +9, Con +8, Wis +2","Athletics +9, Perception +2","","","","","passive Perception 12","Giant","6 (2,300 XP)",""," Chain. Melee Weapon Attack: +9 to hit, reach 20 ft., one target. Hit: 16 (3d6 + 6) bludgeoning damage. If the target is a creature, it is grappled (escape DC 17). Until the grapple ends, the target is restrained, and the giant can't use this attack on anyone else. Rock. Ranged Weapon Attack: +9 to hit, range 60/240 ft., one target. Hit: 16 (3d6 + 6) bludgeoning damage.",""," Furious Defense. After a creature the giant can see is dealt damage by a foe within 20 feet of the giant, the giant makes a chain attack against that foe.","","","","",""
